"ID";"Inkomensbegrippen";"Inkomensklassen";"Geslacht";"KenmerkenVanPersonen";"Perioden";"PersonenMetInkomen_1";"GemiddeldInkomen_2";"MediaanInkomen_3"
"46572";"A043962";"A028706";"4000   ";"2012657";"2020JJ00";"    76.1";"    26.8";"    26.7"
"47496";"A043962";"A028707";"3000   ";"1012600";"2020JJ00";"   514.9";"    34.4";"    34.4"
"47507";"A043962";"A028707";"3000   ";"2012655";"2020JJ00";"    76.2";"    34.4";"    34.4"
"47518";"A043962";"A028707";"3000   ";"2012657";"2020JJ00";"    80.9";"    34.3";"    34.2"
"47969";"A043962";"A028707";"4000   ";"1012600";"2020JJ00";"   564.5";"    34.2";"    34.1"
"47980";"A043962";"A028707";"4000   ";"2012655";"2020JJ00";"    77.6";"    34.2";"    34.0"
"47991";"A043962";"A028707";"4000   ";"2012657";"2020JJ00";"    66.6";"    34.2";"    34.1"
"48915";"A043962";"A028708";"3000   ";"1012600";"2020JJ00";"   603.0";"    43.1";"    43.1"
"48926";"A043962";"A028708";"3000   ";"2012655";"2020JJ00";"    80.2";"    42.9";"    42.9"
"48937";"A043962";"A028708";"3000   ";"2012657";"2020JJ00";"    82.4";"    43.0";"    43.0"
"49388";"A043962";"A028708";"4000   ";"1012600";"2020JJ00";"   492.8";"    42.8";"    42.7"
"49399";"A043962";"A028708";"4000   ";"2012655";"2020JJ00";"    63.8";"    42.8";"    42.7"
"49410";"A043962";"A028708";"4000   ";"2012657";"2020JJ00";"    58.4";"    42.9";"    42.8"
"50334";"A043962";"A028709";"3000   ";"1012600";"2020JJ00";"   699.1";"    53.4";"    53.3"
"50345";"A043962";"A028709";"3000   ";"2012655";"2020JJ00";"    78.9";"    53.3";"    53.1"
"50356";"A043962";"A028709";"3000   ";"2012657";"2020JJ00";"    84.6";"    53.3";"    53.2"
"50807";"A043962";"A028709";"4000   ";"1012600";"2020JJ00";"   411.1";"    53.1";"    52.9"
"50818";"A043962";"A028709";"4000   ";"2012655";"2020JJ00";"    55.2";"    53.2";"    53.0"
"50829";"A043962";"A028709";"4000   ";"2012657";"2020JJ00";"    51.6";"    53.2";"    53.0"
"51753";"A043962";"A028710";"3000   ";"1012600";"2020JJ00";"   784.0";"    69.1";"    68.5"
"51764";"A043962";"A028710";"3000   ";"2012655";"2020JJ00";"    80.2";"    69.0";"    68.4"
"51775";"A043962";"A028710";"3000   ";"2012657";"2020JJ00";"    77.4";"    68.6";"    67.9"
"52226";"A043962";"A028710";"4000   ";"1012600";"2020JJ00";"   345.2";"    68.5";"    67.7"
"52237";"A043962";"A028710";"4000   ";"2012655";"2020JJ00";"    50.1";"    68.7";"    68.1"
"52248";"A043962";"A028710";"4000   ";"2012657";"2020JJ00";"    43.6";"    68.5";"    67.7"
"53172";"A043962";"A028711";"3000   ";"1012600";"2020JJ00";"   893.7";"   121.4";"   102.6"
"53183";"A043962";"A028711";"3000   ";"2012655";"2020JJ00";"   103.5";"   136.7";"   107.3"
"53194";"A043962";"A028711";"3000   ";"2012657";"2020JJ00";"    65.5";"   121.4";"   100.6"
"53645";"A043962";"A028711";"4000   ";"1012600";"2020JJ00";"   242.7";"   112.3";"    98.2"
"53656";"A043962";"A028711";"4000   ";"2012655";"2020JJ00";"    45.6";"   121.2";"   101.6"
"53667";"A043962";"A028711";"4000   ";"2012657";"2020JJ00";"    29.5";"   111.8";"    97.1"
"67362";"A043963";"A028702";"3000   ";"1012600";"2020JJ00";"   436.3";"     2.2";"     2.4"
"67373";"A043963";"A028702";"3000   ";"2012655";"2020JJ00";"    59.2";"     2.4";"     2.4"
"67384";"A043963";"A028702";"3000   ";"2012657";"2020JJ00";"   114.0";"     2.4";"     2.7"
"67835";"A043963";"A028702";"4000   ";"1012600";"2020JJ00";"   557.1";"     2.7";"     2.7"
"67846";"A043963";"A028702";"4000   ";"2012655";"2020JJ00";"    80.4";"     2.7";"     2.6"
"67857";"A043963";"A028702";"4000   ";"2012657";"2020JJ00";"   133.7";"     2.9";"     2.9"
"68781";"A043963";"A028703";"3000   ";"1012600";"2020JJ00";"   245.2";"     9.8";"    10.2"
"68792";"A043963";"A028703";"3000   ";"2012655";"2020JJ00";"    38.2";"     9.8";"    10.0"
