sample_id,iteration,seed,w_wr_ratio,nw_wr_ratio
30,1,245423543950457611180387817174135893529,0.04507535221836839,-0.1752514653918045
31,0,166905996964117971706069180556296489001,0.26759508041413405,-0.17394354883531216
31,1,23988148015278243332387778508095401729,0.03923670775735283,-0.03034943458693302
32,0,125351676045418732268872767989599207623,-0.02858046579180651,-0.10939765700717728
32,1,338095386607354312702499693302510329891,0.34878231562706835,-0.16999510282277164
33,0,242220850724942490196161055659348821947,0.02235358470070831,-0.32636644594548103
33,1,173429889689266281607767344308332840901,0.045879798973595044,-0.06521485906693544
34,0,322345524620180478973515306199579263027,0.04937112093044262,-0.14149303999792476
34,1,158955131338102599692571223322266950150,0.022246880011401723,-0.3011571650486684
35,0,320655372540984937925731517945013355748,0.516974647468851,0.17618128868262944
35,1,87515220960802103635756685033788649323,0.33204164686014065,-0.009007223584851716
36,0,126808375279785077326604721939608226875,0.3145957936271695,0.14396468095441978
36,1,191166818740963881663649184881036081153,0.21621799573293787,-0.045645168542792186
37,0,196802378015614441499615583127073854979,0.23026638040014571,0.010684218189238344
37,1,171705176083071331567668484151094934593,0.26360857372085716,0.11791072287690318
38,0,318390159388860631029592689763410005864,0.4111725162917378,0.03175357577765245
38,1,172782644125742030364415722158644647344,0.5645047561806581,0.08316664208206109
39,0,321057271265179529195813862981114610945,0.11980039083405337,0.16630844046034934
39,1,290155973411544475201618558213996687634,0.13246792995577647,-0.128262478106195
40,0,225732781973610719759608249607295980951,0.24593227379151683,-0.15929493612536053
40,1,47358716367176232091192968451873757684,0.0723010589101546,-0.14734977747374386
41,0,119787041914449960957127563216788967066,0.30887802132850745,-0.08747274411117219
41,1,273961073469867519509494393290091435088,0.1552083232314221,-0.2261281571471706
42,0,143697682201299238250567080708796220433,-0.03111150441444251,-0.03112165115332414
42,1,330337342341138316831009850201838431798,0.3864915430941125,-0.0545077088468935
43,0,231401026073094734590265505209278942544,0.35981861856922837,0.07824622465731958
43,1,184287007000233770823740008447480776682,0.17885171389103158,-0.04037133195224174
44,0,224273767404972994918127589486347198942,0.338715877319539,0.1541670286144165
44,1,60345103217337480950813263822636971779,0.46907605342703595,0.025293760462593365
45,0,41068654511790892191738619742656467900,0.21341842866017188,-0.08571340878119602
45,1,127841551692665096583313667774284161472,0.12173046791769072,-0.05858600629526342
46,0,38463298012365578149063204909286936729,0.18110707145490212,-0.21957623268911503
46,1,174281693791809883928639541320108759411,0.27942221161933195,-0.23162360163167656
47,0,180039411685806614744890761025024398026,0.31231296424343286,0.08374650539137607
47,1,96448920766685653509622834192746753710,0.19772828341823115,0.09840457275960961
48,0,134263108498880931604932628687862321762,0.08665302272917777,-0.1555104391059346
48,1,292704569139034114380423929073394379304,0.2502760020676271,-0.11319288311827488
49,0,49332851698838271292740735948733321973,0.3272799548287985,0.10366356129310277
49,1,173865521085349686378373061064810552672,0.2958774439527615,0.05897786459497112
50,0,317763062272488235947332648455935932332,0.2607456609896819,0.08564734622695921
50,1,213963877861633092113069939235097526763,0.17960937611605077,-0.08304324369820576
51,0,187348546978548315747979329208134510980,0.03216014824307013,-0.09506998826389076
51,1,295049328229961800387536493320201410706,0.2942829991566534,-0.4512979917472252
52,0,174135071966527349855901139961930943221,0.4206851370822417,0.07307644795494976
52,1,111532603638416010115051539399174355190,0.6242785319422087,0.04729372412348887
53,0,90366062999266559701142314500257112111,-0.028817870906539655,-0.3006656539122062
53,1,317453782243326498612447474283646203625,-0.008385458604059166,-0.3299721541958471
54,0,232361523595447294552532301431380889041,0.11247315752551947,-0.1293583282507667
54,1,217947628776061855394341618042115150758,0.15442930725356,-0.17070914159351636
55,0,138451449132044160469622449524484999282,0.3143302469263518,-0.028899040647636296
55,1,229492755435400946558754595768426042361,0.4239287838160328,0.16983064549937882
56,0,81509491436618085124586669106312569264,0.4435946415774647,0.06744049609455648
56,1,296912867373515702664751722351916713862,0.12129148142827471,0.047579032694839665
57,0,136769150710160788905517137302189924437,0.21422820534940004,-0.3098430116355696
57,1,81289157369674875760280505569704847468,-0.16548809957821287,-0.1072665669375477
58,0,333501555068270340912997592420713320806,0.28163313856681027,-0.07389019308646812
58,1,331765217995894015071444780342490711413,0.3029665240641015,-0.02694051668960601
59,0,257904590611564254004842551270170490013,0.09247955054348024,-0.12815851501409078
59,1,80565721422957294921675492195450015962,0.16210841608926058,-0.25367080620431826
60,0,64135202431417287707149108333189474562,0.05017417403900198,-0.2780809613275649
60,1,288899811451039854975337162790209415130,0.15048416430004127,-0.05833586191447406
61,0,174663304372519870552098439325877635571,0.2212787834946844,-0.2351494024443092
61,1,337233041315634642187160363579682673398,-0.04399643920555595,-0.23449801300323
62,0,249710807574203133555995099050643121723,0.043705466420701014,-0.34598859293317896
62,1,295251816785772146359748571921791270161,-0.16982254444447717,-0.3161319334552874
63,0,299503257521467769141343314516046867707,0.04603573252560517,-0.007137892295203351
63,1,267554532979098797196865909171577184492,0.4335124444324705,0.010771082570379446
64,0,138122801803961720843782214843212558362,0.11874445008391699,0.004779929673634938
64,1,174035996761569788542934597317428177620,-0.031268854150595035,-0.06199933430269162
65,0,292352033980572940269016323540734986743,0.34987525430363103,-0.0824242595259216
65,1,224489180638597439401967124482311953617,0.46088106431300013,0.08387827030919814
66,0,131665847637259332211177848957678616559,0.35739838079563563,-0.10215908231948312
66,1,118685756509485138895503786790113370745,0.42383246231831145,-0.15762648446755617
67,0,255387519335447816631984714389839354032,0.145189041738746,-0.14089084069241473
67,1,259338163050151031155828190055940626224,0.3216007083313,0.013657794585542263
68,0,307669124537874002612308651230385501195,0.26846788059962695,0.054176752925604345
68,1,118447651652705408289534781816691416989,0.3920635342298999,0.10146780828982568
69,0,137712075176124549070735846028914514208,0.18196964688251877,-0.36595212143192835
69,1,291174022160539403904666292197440923655,0.30277349580359586,-0.002922028609185618
70,0,219510675559106475650183139951430432357,0.05593117671608752,-0.16984613150105932
70,1,198132261073966919256496100563409551478,0.11574749874769241,-0.15557372810906936
71,0,298789125254926791358751595919754766553,0.07272372822878133,-0.23952241509621994
71,1,280276328768616994727529973295240413525,0.08028196958449997,-0.2634303488519859
72,0,152956733837628325749458447324460572644,0.35157674648448556,0.10729922161585587
72,1,105159218244322321786935566792402060324,0.02989012814039472,-0.03950241855471912
73,0,135295969694132638457047412470190773404,-0.04254653693768569,-0.20990476925464585
73,1,237588160926860452402903680547109929555,-0.009737831510691937,-0.24508143860967188
74,0,249279777875797152680517385157071378824,0.30028084977243197,0.010996698038347633
74,1,48800905582378454830878493389167335347,0.39591012237306994,-0.10539331236207661
75,0,227907933979351809269958059047669871089,0.0555387675816459,0.0018965595223661643
75,1,229919821044341401857269243103959109583,0.184091972112829,-0.26831616748537024
76,0,177211868809709344271339487288105528507,0.2636290298948668,0.10416301151109655
76,1,187976698309899389660933395143572901116,0.16553535909641556,-0.07277594793335979
77,0,195086464956254783048247589484471644709,0.20798705465145906,-0.1419771773906759
77,1,388706020378808497714053395447445790,-0.015343273688603977,-0.10217727904101685
78,0,88047904063694840804267016176365076206,0.19934013191864552,0.10746701929058008
78,1,275917464789894490421417243243238562732,-0.05311785608215426,0.01695560378753296
79,0,63926949725671018005700605997344371700,0.07963702552627794,-0.10587526124257646
79,1,106365099417618753841187724279348328319,0.1704404613861911,0.014373032979992924
80,0,227200566096159920151173320112837965997,-0.1604777055699726,-0.3104061287244778
80,1,249406503452174988855058099482155273267,0.1465498853578928,-0.3834516031538605
81,0,317437461722107340386628372202662034381,0.12068433713790393,-0.3089727614942179
81,1,52087096967645470418041120357612929097,0.1573321928256801,-0.38505940071865297
82,0,19094808299946328007259822789701005727,0.19226233126921105,-0.11954109623535455
82,1,46154298937703231391831814850016391745,0.176807006423793,0.14717692697065002
83,0,45932163351768709801741308206043415854,-0.07577142650258308,-0.3603610984549028
83,1,239463201039370552679495748814812861218,0.20367480597817753,-0.14964951760804052
84,0,83313334778021899597054981985341533966,0.20514813680707222,-0.027526923260869616
84,1,109398866573542579147616552807373298159,0.4149392793229011,-0.024436659905392653
85,0,10342648865702906757809517248469336561,0.2796297363589283,-0.13324215816224036
85,1,336871438094626083351607645137797408580,0.20782849573270454,-0.09225499670920487
86,0,41759317084155337898663589810772488638,0.32509646113667656,-0.0032705147889079854
86,1,332815626626955840754891606340791243254,0.4112816176630225,0.06560440007888615
87,0,207273109352661584785900662347434187942,0.11581155574086892,-0.1781695727455023
87,1,70083083919462563650508108674274400629,0.05421558593960511,-0.06388215839602322
