sample_id,iteration,seed,Total share infected,Peak share infected
3,7,245335548067811367524581655508763935121,0.2818181818181818,0.1
3,8,324751512091530321063527508032599635037,0.21818181818181817,0.1
3,9,312708561432600694179243557201425422665,0.21818181818181817,0.1
4,0,299562886012974814169604529262958793917,0.4,0.15454545454545454
4,1,153542031838759808958612336509303837949,0.3090909090909091,0.10909090909090909
4,2,50492726076480987668248834330801146551,0.4090909090909091,0.14545454545454545
4,3,280039770333804626769756568390589979093,0.37272727272727274,0.14545454545454545
4,4,149991360188565932770268058146370701579,0.43636363636363634,0.14545454545454545
4,5,319698544756404744016062014968375084112,0.32727272727272727,0.15454545454545454
4,6,18014284092531062447158705174729791047,0.4,0.19090909090909092
4,7,21802421010850664763861026628962297214,0.32727272727272727,0.14545454545454545
4,8,300432177346811837978127397153661246365,0.2909090909090909,0.16363636363636364
4,9,97604085247064876736392273643472154751,0.42727272727272725,0.17272727272727273
5,0,222238797103504201573799552482166995754,0.5038335158817087,0.12376779846659365
5,1,86081252037546018234617546110217087776,0.47973713033953996,0.1380065717415115
5,2,29867937088161619570013813374894550930,0.5049288061336255,0.14457831325301204
5,3,177822034658671502237402425783934308533,0.5136911281489595,0.12814895947426067
5,4,1175900427032238186472664351593449230,0.5104052573932092,0.1248630887185104
5,5,36265660307916499585043365023752577503,0.4348302300109529,0.1248630887185104
5,6,42812577615655740671968290451272426117,0.5345016429353778,0.13691128148959475
5,7,256122183741920042518002488391955266027,0.524644030668127,0.13910186199342825
5,8,68761883520049530717661182814583954447,0.43263964950711936,0.12048192771084337
5,9,5344803050321125500006416439262250960,0.5038335158817087,0.15224534501642936
6,0,169890967937912795819876261854873939276,0.8787878787878788,0.18538324420677363
6,1,156832915570705839124690738710759271842,0.7201426024955436,0.16399286987522282
6,2,219321746634463850808622741414719042355,0.8163992869875223,0.17290552584670232
6,3,29795911929563842048775790246835927301,0.8467023172905526,0.16399286987522282
6,4,149944533563732430245790832967633455870,0.6987522281639929,0.17647058823529413
6,5,327856206109490100590869184747817612335,0.8003565062388592,0.16042780748663102
6,6,63528063110316768514179139487974123169,0.7593582887700535,0.16934046345811052
6,7,104570508702364631599090206850390871247,0.7825311942959001,0.1657754010695187
6,8,30613726588216472965112913605888854476,0.7361853832442068,0.16042780748663102
6,9,183705970249444000491258807443132746132,0.8181818181818182,0.1711229946524064
7,0,260100294044992746385945356113436792437,0.7857142857142857,0.18831168831168832
7,1,204654123483443448924841960155765389986,0.8484848484848485,0.16883116883116883
7,2,122723752345485588933546058609697893710,0.7922077922077922,0.17316017316017315
7,3,102878793308121615933685640111029849825,0.8333333333333334,0.18614718614718614
7,4,96502453992323491489813403680996052772,0.7597402597402597,0.19480519480519481
7,5,142407163674841775933556311566225117140,0.8311688311688312,0.18398268398268397
7,6,14695984253078828978162590581770131526,0.8658008658008658,0.20562770562770563
7,7,224539313670373650145099306067013992847,0.8333333333333334,0.2012987012987013
7,8,332347062476731193407464800010699100549,0.8982683982683982,0.21212121212121213
7,9,262614494087488221514996129922697524677,0.7510822510822511,0.17316017316017315
8,0,235799380056357484045230151371078174427,0.1836007130124777,0.09982174688057041
8,1,283076252033860611216263534159363419767,0.22459893048128343,0.09982174688057041
8,2,21164927533838875261264644011108804293,0.2103386809269162,0.09982174688057041
8,3,322401835029077376497792429182388602876,0.2103386809269162,0.09982174688057041
8,4,236233063984074654539692200441974887010,0.1925133689839572,0.09982174688057041
8,5,158285411586885953253552134559675396723,0.18181818181818182,0.09982174688057041
8,6,197276718941428893334080651776105105245,0.18538324420677363,0.09982174688057041
8,7,209838554730273578875187160024619791647,0.19607843137254902,0.09982174688057041
8,8,30482435773495243801288385121188072666,0.1657754010695187,0.09982174688057041
8,9,87646916047453462982675274726460874345,0.1889483065953654,0.09982174688057041
9,0,7258913706515716140302971956580100957,0.8680926916221033,0.27450980392156865
9,1,320024533970244647409876338867456786454,0.93048128342246,0.3083778966131907
9,2,221892909799670038654467546639385054095,0.8823529411764706,0.2638146167557932
